time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),soil_temperature_0_to_7cm (°C)
2020-01-01T00:00,18,96,17.3,920.2,0,100,10.1,107,20.3
2020-01-01T01:00,18.1,95,17.3,920.9,0,100,10.4,110,20.2
2020-01-01T02:00,18.2,94,17.3,921.6,0,100,13,109,20.3
2020-01-01T03:00,19.7,83,16.7,922.9,0,100,15.5,112,21.1
2020-01-01T04:00,21.5,73,16.6,923.2,0,100,15.6,113,22.3
2020-01-01T05:00,23,67,16.5,923.6,0,91,15.1,115,23.8
2020-01-01T06:00,24.3,62,16.4,924,0.2,71,13.8,118,25.4
2020-01-01T07:00,24.8,60,16.5,923,0.2,76,12.9,120,26.5
2020-01-01T08:00,25.1,62,17.4,922,0.3,72,12.7,119,27.4
2020-01-01T09:00,25.4,64,18,921.4,0,53,12.6,121,27.8
2020-01-01T10:00,25.5,64,18.1,920.4,0,64,11.3,121,27.6
2020-01-01T11:00,24.9,65,17.8,920.4,0.3,23,10.3,119,26.9
2020-01-01T12:00,24,69,18,920.9,0,32,7.4,119,25.8
2020-01-01T13:00,22.5,76,18,921.6,0,23,7.4,119,24.4
2020-01-01T14:00,21.5,80,18,922.1,0,23,9.5,115,23.4
2020-01-01T15:00,20.9,84,18.1,922.7,0,20,10.8,111,22.7
2020-01-01T16:00,20.5,87,18.2,923.2,0,17,10.6,108,22.3
2020-01-01T17:00,19.9,91,18.3,923.3,0,17,10.6,108,21.8
2020-01-01T18:00,19.3,95,18.4,923,0,69,10.1,107,21.4
2020-01-01T19:00,19,96,18.3,922.9,0,76,10.6,108,21.2
2020-01-01T20:00,19,96,18.3,922.1,0,87,10.6,108,21.1
2020-01-01T21:00,19.1,95,18.2,921.5,0,91,10,111,21.1
2020-01-01T22:00,19,95,18.1,921,0,89,10.3,115,21
2020-01-01T23:00,19.1,93,18,920.8,0,83,10.8,116,20.9
2020-01-02T00:00,19,93,17.9,921.5,0,70,9.8,114,20.8
2020-01-02T01:00,19.1,93,17.9,922.3,0,46,10.2,113,20.7
2020-01-02T02:00,19.2,92,17.9,923.5,0,43,10.6,114,20.7
2020-01-02T03:00,20.4,83,17.5,924,0,41,12.9,120,21.6
2020-01-02T04:00,22.3,72,17,924.4,0,88,12.5,129,23.1
2020-01-02T05:00,23.9,64,16.8,924.6,0,88,11.5,139,24.6
2020-01-02T06:00,24.6,61,16.7,924.9,0.1,46,10.6,145,25.8
2020-01-02T07:00,25,60,16.8,923.8,0.2,50,9.7,149,26.9
2020-01-02T08:00,25.6,58,16.6,923.2,0.2,57,9.3,152,27.6
2020-01-02T09:00,25.5,59,16.9,922.2,0.2,70,9.8,152,27.8
2020-01-02T10:00,25.5,60,17.1,921.3,0,53,9.7,158,27.5
2020-01-02T11:00,25.3,62,17.4,921.5,0,37,9.2,154,26.9
2020-01-02T12:00,24,69,17.9,921.9,0.1,63,5.7,145,25.9
2020-01-02T13:00,23.1,74,18.2,922.3,0,29,5.7,125,24.7
2020-01-02T14:00,22,80,18.4,923,0,35,7.1,120,23.7
2020-01-02T15:00,21.3,84,18.5,923.1,0,47,9.6,124,23
2020-01-02T16:00,20.6,88,18.6,923.8,0,59,10.9,124,22.4
2020-01-02T17:00,20.1,92,18.8,923.6,0,52,11.5,122,22
2020-01-02T18:00,19.7,95,18.8,923.3,0,48,10.5,121,21.7
2020-01-02T19:00,19.7,94,18.8,922.8,0,48,10.4,124,21.5
2020-01-02T20:00,19.4,95,18.7,922.1,0,74,11.4,125,21.2
2020-01-02T21:00,19,98,18.6,921.2,0,76,11.9,125,21
2020-01-02T22:00,18.9,98,18.6,920.7,0,77,9.8,126,20.9
2020-01-02T23:00,18.9,98,18.6,921.1,0,81,9.9,123,20.8
2020-01-03T00:00,18.9,97,18.4,921.2,0,80,10.3,126,20.8
2020-01-03T01:00,18.6,98,18.3,921.8,0,83,9.4,130,20.6
2020-01-03T02:00,18.7,96,18.1,922.7,0,83,9.4,140,20.7
2020-01-03T03:00,20,87,17.8,923.4,0,24,9.2,149,21.4
2020-01-03T04:00,22.4,74,17.5,923.6,0,1,8.3,162,23.4
2020-01-03T05:00,24.6,63,17.1,923.7,0,2,7.7,169,25.8
2020-01-03T06:00,26.2,56,16.6,923.9,0,15,8,170,27.7
2020-01-03T07:00,27,52,16.4,922.5,0,28,7.2,174,28.9
2020-01-03T08:00,27.7,49,15.9,921.8,0,22,6.5,180,29.6
2020-01-03T09:00,28,47,15.5,920.5,0,20,6.2,187,29.7
2020-01-03T10:00,28.1,45,15.2,919.9,0,26,6.3,193,29.6
2020-01-03T11:00,27.8,45,14.8,919.9,0,33,5.6,195,28.8
2020-01-03T12:00,26.8,49,15.2,920.1,0,29,4.4,189,27.5
2020-01-03T13:00,25.2,55,15.6,920.5,0,23,5.4,176,26
2020-01-03T14:00,23.9,61,15.8,920.9,0,24,5.4,143,24.9
2020-01-03T15:00,23,64,15.9,921.1,0,30,5.4,127,24.1
2020-01-03T16:00,22,69,16.2,921.5,0,66,6,115,23.4
2020-01-03T17:00,21.2,75,16.6,921.4,0,50,6.6,119,22.8
2020-01-03T18:00,20.3,82,17.1,920.9,0,15,6.9,118,22.2
2020-01-03T19:00,19.9,85,17.2,920.9,0,16,6.8,115,21.7
2020-01-03T20:00,19.2,90,17.6,920.1,0,20,6.4,117,21.3
2020-01-03T21:00,18.8,94,17.9,919.5,0,50,7.6,121,21
2020-01-03T22:00,19.3,94,18.3,919.5,0,74,5.9,137,21
2020-01-03T23:00,19.6,93,18.5,919.5,0,70,7.3,147,21.1
2020-01-04T00:00,19.8,93,18.6,919.8,0,59,6.9,152,21.2
2020-01-04T01:00,19.7,93,18.6,920.4,0,65,5.7,145,21.2
2020-01-04T02:00,20,92,18.7,921,0,23,7.3,147,21.3
2020-01-04T03:00,21.3,84,18.5,922,0,1,8,162,22.3
2020-01-04T04:00,23.1,73,18,921.9,0,1,7.6,180,24
2020-01-04T05:00,25,63,17.4,922.2,0,11,6.6,193,26.1
2020-01-04T06:00,26.4,51,15.3,921.9,0,23,5.8,210,27.8
2020-01-04T07:00,27.2,47,14.8,920.7,0,28,5.9,227,29
2020-01-04T08:00,27.9,43,14.2,920,0,24,6,237,30
2020-01-04T09:00,28.1,41,13.8,919.2,0,31,6.3,246,30.1
2020-01-04T10:00,28,41,13.4,918.2,0,24,7.9,270,29.7
2020-01-04T11:00,27.7,41,13.1,918.1,0,29,7.3,279,28.8
2020-01-04T12:00,26.9,44,13.7,918.7,0,28,3.8,287,27.7
2020-01-04T13:00,25.6,50,14.3,919.2,0,28,7.8,304,26.2
2020-01-04T14:00,24.1,56,14.8,919.4,0,29,6.1,320,25
2020-01-04T15:00,23.1,61,15.1,919.5,0,29,7.6,329,24.2
2020-01-04T16:00,22.1,67,15.8,919.8,0,16,7.7,332,23.5
2020-01-04T17:00,21.2,71,15.8,919.5,0,20,6.8,3,22.8
2020-01-04T18:00,20.6,72,15.5,919.3,0,36,5.6,50,22.3
2020-01-04T19:00,20.4,74,15.6,919.2,0,32,7.6,85,21.9
2020-01-04T20:00,20.2,81,16.8,918.9,0,70,8.7,97,21.7
2020-01-04T21:00,20,88,18,918.3,0,81,7.6,109,21.6
2020-01-04T22:00,19.8,93,18.6,918,0,65,7.8,124,21.4
2020-01-04T23:00,19.5,96,18.9,917.8,0,100,7.4,137,21.2
2020-01-05T00:00,19.3,98,18.9,918.5,0,83,7.2,143,21.1
2020-01-05T01:00,19.4,98,19,919.3,0,66,7.5,145,21.1
2020-01-05T02:00,19.9,95,19,920.6,0,52,8.7,138,21.2
2020-01-05T03:00,21.3,86,18.8,921.6,0,53,9.7,149,22.2
2020-01-05T04:00,23.1,74,18.2,921.6,0,41,7.2,153,23.7
2020-01-05T05:00,24.5,65,17.6,921.9,0,48,5.2,146,25.3
2020-01-05T06:00,26,57,16.9,921.8,0,47,4.9,144,27.2
2020-01-05T07:00,27,52,16.3,920.8,0,58,5.3,152,28.6
2020-01-05T08:00,27.9,47,15.6,920,0,49,5.2,155,29.9
2020-01-05T09:00,28.3,43,14.4,919.4,0,47,4.3,156,30.4
2020-01-05T10:00,28,42,13.8,918.5,0,43,3.7,151,29.8
2020-01-05T11:00,27.8,41,13.5,918.5,0,40,3.8,131,29.1
2020-01-05T12:00,27.1,45,14,919.1,0,29,3.1,144,27.9
2020-01-05T13:00,25.5,52,14.8,919.4,0,37,6.8,155,26.5
2020-01-05T14:00,23.8,59,15.3,919.7,0,51,7.4,133,25.2
2020-01-05T15:00,22.7,66,16,920.5,0,37,8.7,107,24.3
2020-01-05T16:00,22,74,17,921.4,0,28,12,97,23.7
2020-01-05T17:00,21.2,81,17.9,921.5,0,26,13.4,98,23.2
2020-01-05T18:00,20.6,87,18.3,921.4,0,38,13.9,100,22.9
2020-01-05T19:00,20,93,18.8,921.1,0,69,13.9,100,22.4
2020-01-05T20:00,19.6,95,18.8,920.7,0,85,13.6,101,22.1
2020-01-05T21:00,19.6,94,18.6,920.2,0,92,12.5,102,22
2020-01-05T22:00,19.6,93,18.5,920,0,97,11.7,108,21.9
2020-01-05T23:00,19.7,93,18.4,920.3,0,98,11.5,104,21.8
2020-01-06T00:00,19.6,93,18.4,920.9,0,90,12.6,103,21.6
2020-01-06T01:00,19.4,93,18.3,921.5,0,83,10.8,105,21.5
2020-01-06T02:00,19.6,92,18.3,922.4,0,75,12.8,106,21.6
2020-01-06T03:00,20.5,86,18,923.2,0,66,15.9,108,22.2
2020-01-06T04:00,22.2,74,17.4,923.6,0,61,16.3,108,23.3
2020-01-06T05:00,23.6,66,16.9,923.6,0,66,16,104,24.6
2020-01-06T06:00,24.6,61,16.5,923.5,0,84,16.1,100,25.4
2020-01-06T07:00,25.6,58,16.8,921.9,0,87,15.8,102,26.5
2020-01-06T08:00,26,57,16.8,921.4,0,97,15.5,102,27.2
2020-01-06T09:00,25.8,58,16.8,920.9,0,57,14.8,104,27.2
2020-01-06T10:00,25.9,57,16.8,920.6,0,58,14,108,27.5
2020-01-06T11:00,25.5,59,16.8,920.7,0,62,14.3,108,26.9
2020-01-06T12:00,24.5,64,17.1,921,0,57,13.2,107,26.1
2020-01-06T13:00,23.4,68,17.3,921.9,0,49,11.7,108,25
2020-01-06T14:00,22.4,74,17.6,922.2,0,45,12.6,110,24.2
2020-01-06T15:00,21.3,80,17.8,922.7,0,35,13.6,112,23.4
2020-01-06T16:00,20.6,85,18,922.9,0,42,13.7,113,22.9
2020-01-06T17:00,19.9,89,18,922.6,0,40,12.8,112,22.4
2020-01-06T18:00,19.5,91,18.1,922.2,0,69,12.2,109,22
2020-01-06T19:00,19.3,93,18.1,922.2,0,72,11.5,104,21.7
2020-01-06T20:00,19.2,93,18,921.6,0,82,10.5,98,21.6
2020-01-06T21:00,18.9,94,17.9,921.2,0,86,10.5,96,21.4
2020-01-06T22:00,18.8,94,17.7,920.9,0,88,10.3,102,21.3
2020-01-06T23:00,18.5,94,17.5,920.8,0,91,10.2,100,21.1
2020-01-07T00:00,18.3,94,17.4,921.2,0,96,9.8,96,21
2020-01-07T01:00,18.2,94,17.3,921.9,0,95,9.7,94,20.8
2020-01-07T02:00,18.3,93,17.2,923,0,92,10.4,92,20.8
2020-01-07T03:00,18.8,89,17,923.5,0,57,13,96,21.3
2020-01-07T04:00,21.1,73,16.1,923.7,0,37,15,100,22.8
2020-01-07T05:00,23.1,61,15.3,923.8,0,32,15.7,101,24.4
2020-01-07T06:00,24.9,53,14.6,923.3,0,47,16.3,104,26.1
2020-01-07T07:00,26,50,14.7,922.4,0,100,16.6,108,27.3
2020-01-07T08:00,26,50,14.7,921.3,0,88,16.2,111,27.4
2020-01-07T09:00,26.2,49,14.7,920.7,0,87,15.6,113,27.5
2020-01-07T10:00,26.1,49,14.6,920,0,40,15,117,27.4
2020-01-07T11:00,25.7,50,14.6,920.1,0,43,14.2,117,26.9
2020-01-07T12:00,24.9,53,14.8,920.2,0,22,11.6,116,26
2020-01-07T13:00,23.5,59,15.1,920.7,0,9,10.2,113,24.9
2020-01-07T14:00,22,67,15.5,921.2,0,4,10.7,110,23.7
2020-01-07T15:00,21,74,16.1,921.7,0,2,11.8,110,22.9
2020-01-07T16:00,20,81,16.6,922.1,0,2,12.8,112,22.2
2020-01-07T17:00,19.2,88,17.1,921.9,0,4,13,114,21.6
2020-01-07T18:00,18.6,93,17.5,921.6,0,34,13.2,116,21.2
2020-01-07T19:00,18.7,93,17.6,921.2,0,68,12.4,116,21
2020-01-07T20:00,18.6,94,17.6,920.4,0,80,12.4,116,20.8
2020-01-07T21:00,18.6,93,17.5,919.9,0,69,12.1,117,20.8
2020-01-07T22:00,18.4,93,17.3,919.6,0,84,11.5,122,20.6
2020-01-07T23:00,18.3,92,17,919.5,0,75,10.1,117,20.5
2020-01-08T00:00,18.3,90,16.7,920.1,0,57,10,120,20.4
2020-01-08T01:00,17.9,91,16.4,920.8,0,56,9.9,123,20.1
2020-01-08T02:00,18.1,88,16.1,921.8,0,52,10.3,126,20.2
2020-01-08T03:00,19.2,78,15.2,922.6,0,34,10,128,21.1
2020-01-08T04:00,21.4,65,14.7,922.8,0,0,8.7,132,23.2
2020-01-08T05:00,23.7,52,13.2,922.9,0,0,7.4,137,25.3
2020-01-08T06:00,25.5,40,11.1,922.9,0,0,5.9,133,27.3
2020-01-08T07:00,26.4,40,11.8,921.7,0,1,4.7,122,29
2020-01-08T08:00,27.2,37,11.1,921.2,0,0,4,117,30.1
2020-01-08T09:00,27.5,35,10.8,920.2,0,0,3.9,124,30.6
2020-01-08T10:00,27.6,35,10.6,919.4,0,0,3.8,131,30.4
2020-01-08T11:00,27.3,35,10.4,919.6,0,0,4.6,135,29.5
2020-01-08T12:00,26.3,38,11,919.6,0,0,3.6,135,28
2020-01-08T13:00,24.3,45,11.6,919.8,0,5,7.6,135,26
2020-01-08T14:00,22.4,51,11.9,920.1,0,10,8.2,128,24.5
2020-01-08T15:00,21.2,57,12.4,920.5,0,10,8.3,124,23.4
2020-01-08T16:00,20.1,65,13.2,921.1,0,9,9.8,118,22.5
2020-01-08T17:00,19.2,73,14.3,921,0,4,11.2,111,21.8
2020-01-08T18:00,18.5,82,15.4,921,0,14,12.2,104,21.3
2020-01-08T19:00,18.6,88,16.5,920.8,0,70,13.6,101,21.1
2020-01-08T20:00,18.4,91,16.9,920.3,0,83,13.2,101,20.9
2020-01-08T21:00,18.5,91,17,919.6,0,84,12.9,103,20.9
2020-01-08T22:00,18,93,16.9,919.5,0,92,11.3,112,20.6
2020-01-08T23:00,17.6,95,16.8,919.8,0,98,10.6,114,20.3
2020-01-09T00:00,17.3,96,16.6,920.1,0,97,10.6,118,20
2020-01-09T01:00,17.3,94,16.4,920.5,0,97,9.9,123,19.9
2020-01-09T02:00,17.4,93,16.2,921.5,0,79,9.9,123,19.9
2020-01-09T03:00,18.9,83,15.9,922.5,0,59,9,127,21.1
2020-01-09T04:00,21.5,70,15.7,922.7,0,26,7.4,133,23.3
2020-01-09T05:00,23.9,58,15.1,922.8,0,25,5.9,133,25.7
2020-01-09T06:00,25.7,50,14.4,922.9,0,27,4.2,121,27.8
2020-01-09T07:00,26.7,48,14.7,921.9,0,29,3.3,96,29.5
2020-01-09T08:00,27.6,44,14.3,921.1,0,27,3.6,96,30.7
2020-01-09T09:00,28.1,42,14,920.1,0,35,3.7,101,31.1
2020-01-09T10:00,28.2,41,13.7,919.2,0,30,3.3,84,31
2020-01-09T11:00,28,41,13.4,919.1,0,39,3.8,73,30.1
2020-01-09T12:00,27.2,43,13.5,919.2,0,37,3,76,28.6
2020-01-09T13:00,25.8,48,14.1,919.9,0,47,3.6,84,26.9
2020-01-09T14:00,24.1,55,14.4,920,0,83,4.2,70,25.4
2020-01-09T15:00,22.9,60,14.6,920,0,84,6,73,24.5
2020-01-09T16:00,22.3,63,14.9,920.8,0,61,8.7,85,23.9
2020-01-09T17:00,21.4,69,15.5,921,0,56,11.9,92,23.4
2020-01-09T18:00,20.2,77,16.1,920.6,0,33,13,95,22.8
2020-01-09T19:00,19.5,82,16.3,920.2,0,37,12,97,22.2
2020-01-09T20:00,18.7,87,16.5,919.5,0,36,11,101,21.7
2020-01-09T21:00,18.1,90,16.5,918.8,0,34,10.8,105,21.2
2020-01-09T22:00,17.7,93,16.5,918.3,0,35,11,101,20.7
2020-01-09T23:00,17.3,95,16.5,918.4,0,39,10.5,96,20.4
2020-01-10T00:00,17.2,95,16.4,919.1,0,39,10.9,96,20.1
2020-01-10T01:00,16.8,96,16.1,919.9,0,64,11.2,96,19.7
2020-01-10T02:00,17.1,94,16,920.6,0,32,11.5,94,19.6
2020-01-10T03:00,19.5,77,15.5,921.4,0,24,12.6,95,21.1
2020-01-10T04:00,22.4,60,14.4,921.9,0,27,13.3,93,23.3
2020-01-10T05:00,24.8,49,13.4,922.1,0,26,14.4,90,25.5
2020-01-10T06:00,26.3,43,12.8,922.2,0,29,15.2,86,27.4
2020-01-10T07:00,27,43,13.2,921.4,0,28,14.8,87,28.9
2020-01-10T08:00,27.5,41,13.1,920.7,0,29,14,89,29.8
2020-01-10T09:00,27.6,41,13.2,920.2,0,34,13.7,92,30.3
2020-01-10T10:00,27.4,41,13.1,919.7,0,41,13,93,30
2020-01-10T11:00,26.7,43,13,919.7,0,39,12.6,93,29.1
2020-01-10T12:00,25.6,46,13.1,920.3,0,47,10.9,98,27.7
2020-01-10T13:00,24.1,51,13.4,921,0,38,10.5,106,26.2
2020-01-10T14:00,22.5,58,13.7,921,0,30,12.1,107,24.8
2020-01-10T15:00,21.1,63,13.7,921.4,0,26,13.4,104,23.7
2020-01-10T16:00,19.9,68,13.8,921.9,0,27,13.6,101,22.8
2020-01-10T17:00,18.9,74,14.1,921.9,0,26,13.6,101,22.1
2020-01-10T18:00,18,80,14.5,921.5,0,28,13.2,101,21.4
2020-01-10T19:00,17.2,83,14.3,921.5,0,29,12.4,98,20.8
2020-01-10T20:00,16.6,89,14.8,920.9,0,51,12.3,95,20.3
2020-01-10T21:00,16.5,92,15.2,920.6,0,94,14.1,93,20
2020-01-10T22:00,16.6,91,15.1,920.4,0,100,14.8,91,19.9
2020-01-10T23:00,16.9,89,15.1,920.2,0,100,13.7,88,19.9
2020-01-11T00:00,16.4,91,14.9,920.3,0,100,11.9,88,19.7
2020-01-11T01:00,16,93,14.8,920.9,0,74,11.5,86,19.3
2020-01-11T02:00,16.3,90,14.7,921.6,0,46,12.6,87,19.3
2020-01-11T03:00,17.9,79,14.2,922.7,0,45,13.8,84,20.4
2020-01-11T04:00,20.5,66,13.9,923.1,0,38,13.4,84,22.4
2020-01-11T05:00,22.9,54,13.2,924.1,0,30,13.4,84,24.7
2020-01-11T06:00,24.9,44,11.8,924.1,0,27,13.4,84,26.7
2020-01-11T07:00,25.7,40,11,923.2,0,27,13.4,84,28.2
2020-01-11T08:00,26.5,37,10.7,922.4,0,29,13.7,85,29.3
2020-01-11T09:00,26.9,36,10.7,921.2,0,27,13.7,88,29.8
2020-01-11T10:00,26.7,37,10.9,920.4,0,17,12.6,93,29.6
2020-01-11T11:00,26,39,11.1,920.3,0,4,12.6,88,28.8
2020-01-11T12:00,24.9,43,11.4,920.7,0,0,11.5,90,27.4
2020-01-11T13:00,22.9,50,11.8,921,0,3,9.7,94,25.6
2020-01-11T14:00,21.5,55,12.1,921.5,0,5,11.3,97,24.1
2020-01-11T15:00,20.4,60,12.3,921.7,0,1,12,99,23.1
2020-01-11T16:00,19.4,65,12.6,922.1,0,0,12.4,98,22.2
2020-01-11T17:00,18.5,71,13.1,922,0,0,12.6,93,21.4
2020-01-11T18:00,17.5,80,14.1,921.5,0,0,12.6,87,20.8
2020-01-11T19:00,17,86,14.7,921,0,0,12,83,20.2
2020-01-11T20:00,16.2,94,15.3,920.3,0,2,11.4,77,19.6
2020-01-11T21:00,15.9,97,15.5,919.6,0,15,10.9,73,19.3
2020-01-11T22:00,15.8,99,15.6,919.3,0,72,11.3,73,19.1
2020-01-11T23:00,15.8,99,15.6,919.5,0,63,10.9,73,19
2020-01-12T00:00,15.8,98,15.4,920,0,69,12.1,73,18.9
2020-01-12T01:00,15.8,97,15.3,921,0,70,11.7,72,18.9
2020-01-12T02:00,16.2,94,15.3,921.8,0,70,11.5,76,19
2020-01-12T03:00,18,84,15.3,922.4,0,42,12.9,77,20
2020-01-12T04:00,20.8,68,14.6,922.9,0,43,18.2,81,22
2020-01-12T05:00,22.6,58,13.8,923,0,24,15.5,85,23.8
2020-01-12T06:00,24.3,50,13.2,923,0,17,14.1,86,25.9
2020-01-12T07:00,25.4,46,12.8,921.7,0,13,13,85,27.6
2020-01-12T08:00,26.2,42,12.4,921,0,5,12.3,87,28.7
2020-01-12T09:00,26.7,40,12,919.9,0,1,11.5,86,29.4
2020-01-12T10:00,26.8,39,11.6,919,0,16,10.9,84,29.4
2020-01-12T11:00,26.5,39,11.3,918.9,0,8,10.9,82,28.7
2020-01-12T12:00,25.6,41,11.4,919.5,0,14,8.3,85,27.3
2020-01-12T13:00,23.7,47,11.8,919.8,0,55,7.2,87,25.6
2020-01-12T14:00,22.4,53,12.5,920.3,0,74,7.6,87,24.4
2020-01-12T15:00,21.8,59,13.4,920.5,0,47,8.3,85,23.6
2020-01-12T16:00,20.6,67,14.4,921.1,0,28,9,85,22.8
2020-01-12T17:00,19.9,74,15.2,920.9,0,22,9,90,22.2
2020-01-12T18:00,18.9,82,15.9,920.5,0,21,9.5,99,21.6
2020-01-12T19:00,18.4,88,16.3,920.2,0,25,9,106,21.1
2020-01-12T20:00,18.1,91,16.7,919.6,0,62,8.7,107,20.8
2020-01-12T21:00,17.8,94,16.9,919.3,0,75,8.1,103,20.4
2020-01-12T22:00,17.7,96,17,918.7,0,54,8,95,20.3
2020-01-12T23:00,17.3,97,16.9,918.5,0,14,7.2,93,19.9
2020-01-13T00:00,16.9,98,16.6,918.7,0,15,6.1,93,19.6
2020-01-13T01:00,16.7,98,16.5,919.3,0,11,5.4,98,19.4
2020-01-13T02:00,17,97,16.6,919.8,0,11,6.6,103,19.4
2020-01-13T03:00,19.2,80,15.7,920.7,0,4,5.2,106,21
2020-01-13T04:00,21.6,68,15.3,920.8,0,0,2.9,97,23.4
2020-01-13T05:00,23.8,55,14.3,921.4,0,2,2.5,45,25.8
2020-01-13T06:00,25.5,46,13.1,921.4,0,13,4.7,23,27.9
2020-01-13T07:00,26.4,44,13.3,920.1,0,6,5.2,34,29.5
2020-01-13T08:00,27.3,40,12.7,919.4,0,15,4.1,45,30.7
2020-01-13T09:00,27.8,38,12.2,918.3,0,19,2.6,74,31.3
2020-01-13T10:00,27.9,37,11.9,917.4,0,31,2.6,74,31.2
2020-01-13T11:00,27.6,37,11.6,917.6,0,21,2.5,82,30.3
2020-01-13T12:00,26.9,39,11.7,918,0,13,2.2,81,28.8
2020-01-13T13:00,25.3,44,12.2,918.6,0,15,4.6,72,26.8
2020-01-13T14:00,23.5,50,12.6,919.2,0,19,4.5,61,25.4
2020-01-13T15:00,22.2,55,12.7,919.4,0,55,7.1,75,24.2
2020-01-13T16:00,21.7,58,13,920.2,0,59,9.7,90,23.7
2020-01-13T17:00,20.9,63,13.5,920.6,0,50,11.7,101,23.1
2020-01-13T18:00,20.1,68,14,920.6,0,32,12.2,104,22.6
2020-01-13T19:00,18.8,73,13.9,920.1,0,29,12,99,21.8
2020-01-13T20:00,17.9,79,14.2,919.1,0,24,12,97,21.1
2020-01-13T21:00,17.1,84,14.5,918.6,0,4,11.4,101,20.5
2020-01-13T22:00,16.5,90,14.8,918.2,0,5,10.8,111,20
2020-01-13T23:00,16,94,15,918.1,0,16,8.9,117,19.5
2020-01-14T00:00,15.6,97,15,918.6,0,29,7.8,124,19.2
2020-01-14T01:00,15.4,98,15.1,919,0,38,7.5,125,19
2020-01-14T02:00,15.8,97,15.3,919.6,0,60,7.6,121,19
2020-01-14T03:00,18,85,15.4,920,0,8,6.5,124,20.6
2020-01-14T04:00,20.9,70,15.3,920.3,0,0,5.4,132,22.9
2020-01-14T05:00,23.7,57,14.6,920.9,0,0,3.1,135,25.6
2020-01-14T06:00,25.5,47,13.3,921.3,0,4,2.7,67,28.1
2020-01-14T07:00,26.5,44,13.4,920.2,0,5,4.1,52,29.9
2020-01-14T08:00,27.5,39,12.5,919.5,0,5,5,60,31.1
2020-01-14T09:00,28,36,11.7,918.4,0,1,5.5,67,31.6
2020-01-14T10:00,28.1,35,11.1,917.2,0,2,5.6,63,31.4
2020-01-14T11:00,27.9,34,10.6,917.4,0,1,6.5,71,30.5
2020-01-14T12:00,27,35,10.4,918,0,1,5.2,78,28.9
2020-01-14T13:00,24.8,42,10.9,918.5,0,9,8,85,27
2020-01-14T14:00,22.9,46,10.7,919.1,0,16,9.4,88,25.3
2020-01-14T15:00,21.4,49,10.3,919.6,0,8,11.9,93,24.1
2020-01-14T16:00,20.2,51,9.8,920.1,0,8,13.4,98,23.1
2020-01-14T17:00,18.9,56,9.8,920.2,0,0,14.1,103,22.2
2020-01-14T18:00,17.9,62,10.5,920.2,0,0,13.9,107,21.4
2020-01-14T19:00,16.9,68,11.1,920,0,1,13.3,109,20.7
2020-01-14T20:00,16.1,77,12,919.3,0,0,12.8,106,20.1
2020-01-14T21:00,15.5,84,12.8,918.9,0,0,11.8,102,19.6
2020-01-14T22:00,15,89,13.2,918,0,23,11.3,99,19.1
2020-01-14T23:00,14.6,93,13.6,918,0,48,10.9,96,18.7
2020-01-15T00:00,14.4,95,13.7,918.5,0,34,10.1,94,18.4
2020-01-15T01:00,14.3,95,13.5,919.1,0,14,9.4,94,18.3
2020-01-15T02:00,14.5,92,13.2,919.7,0,0,9.8,96,18.3
2020-01-15T03:00,16.7,77,12.7,920.2,0,0,9.9,100,19.6
2020-01-15T04:00,20.2,57,11.3,920.7,0,1,9.2,111,22.1
2020-01-15T05:00,23.1,42,9.5,921.2,0,0,8.7,114,24.7
2020-01-15T06:00,25.1,35,8.7,921.6,0,0,8,108,27.1
2020-01-15T07:00,26.2,29,6.9,920.8,0,1,7.6,95,28.9
2020-01-15T08:00,27.1,26,5.8,920.1,0,2,7.6,95,30.2
2020-01-15T09:00,27.6,24,5.2,919.2,0,0,7.7,101,30.8
2020-01-15T10:00,27.6,24,5,918.3,0,0,6.2,97,30.6
2020-01-15T11:00,27.1,24,4.8,918.1,0,0,6.2,100,29.7
2020-01-15T12:00,25.9,28,5.8,918.7,0,0,4.6,108,28.1
2020-01-15T13:00,23.3,34,6.7,918.8,0,0,8.4,110,25.9
2020-01-15T14:00,21.4,42,7.8,919,0,0,8.9,104,24.3
2020-01-15T15:00,20,51,9.4,919.6,0,0,10.7,104,23
2020-01-15T16:00,18.8,61,11,920,0,0,12.7,105,22
2020-01-15T17:00,17.9,70,12.3,920.1,0,0,13.6,107,21.2
2020-01-15T18:00,17,78,13.1,919.6,0,0,13.6,107,20.5
2020-01-15T19:00,16.6,85,14,919.6,0,0,13.6,107,20
2020-01-15T20:00,15.8,91,14.3,918.9,0,0,13.6,107,19.5
2020-01-15T21:00,15.2,95,14.4,918.6,0,20,13.2,107,19
2020-01-15T22:00,15,97,14.5,918,0,78,13.2,112,18.7
2020-01-15T23:00,15,97,14.4,918.6,0,86,13.2,116,18.6
2020-01-16T00:00,15.1,94,14.2,918.8,0,88,12.1,120,18.6
2020-01-16T01:00,15,93,14,919.6,0,89,10.7,123,18.6
2020-01-16T02:00,15.2,91,13.8,920.6,0,83,10,128,18.8
2020-01-16T03:00,16.3,84,13.6,921,0,46,9.4,130,19.6
2020-01-16T04:00,18.6,72,13.4,921.1,0,0,8.1,135,21.5
2020-01-16T05:00,21.3,59,13.1,921.6,0,0,6.5,146,24.2
